"","clusterID_seq","window_type","watershed","year","catchment_km2","TO","Nhat","t","surveyPeriod","SWA","VA","NDVI","riparian_area_m2","dam_km","clusterID_unique","clusterID_num","stream","sampleEvent","year_id","damPresence","sampleEvent_new","logSWA","y","y_veg","dam_km_std"
"1",1,"dammed","WC",2019,1393.9535,34.229566831107,1.13187482594399,5,"195",106.651564389117,16274.3578377817,0.361104042711308,2678.24690937251,4.52749930377596,"2019.WC.1",16,6,1,1,1,1,4.67889975588422,1,1,0.499078550475722
"2",1,"dammed","WC",2019,1393.9535,34.229566831107,1.13187482594399,6,"196",0,17732.1355174944,0.359481778526919,2678.24690937251,4.52749930377596,"2019.WC.1",16,6,2,1,1,2,0,0,1,0.499078550475722
"3",1,"dammed","WC",2019,1393.9535,34.229566831107,1.13187482594399,7,"197",94.574508348867,16901.2499020446,0.348872943680394,2678.24690937251,4.52749930377596,"2019.WC.1",16,6,3,1,1,3,4.55990613542974,1,1,0.499078550475722
"4",1,"dammed","WC",2019,1393.9535,34.229566831107,1.13187482594399,8,"198",2382.03883342275,4811.69287273931,0.357973275666624,2678.24690937251,4.52749930377596,"2019.WC.1",16,6,4,1,1,4,7.77613177298894,1,1,0.499078550475722
"5",1,"undammed","WC",2019,1390.5115,35.70603232487,0,5,"195",66.6700465034036,14708.4064356785,0.364079722311643,2765.79322362691,0,"2019.WC.1",16,6,1,1,0,1,4.21464363745246,1,1,-0.939641437061175
"6",1,"undammed","WC",2019,1390.5115,35.70603232487,0,6,"196",66.6700465034036,15429.5874516506,0.370398669831197,2765.79322362691,0,"2019.WC.1",16,6,2,1,0,2,4.21464363745246,1,1,-0.939641437061175
"7",1,"undammed","WC",2019,1390.5115,35.70603232487,0,7,"197",155.842008135833,14463.3139000388,0.364999272539228,2765.79322362691,0,"2019.WC.1",16,6,3,1,0,3,5.05523898106464,1,1,-0.939641437061175
"8",1,"undammed","WC",2019,1390.5115,35.70603232487,0,8,"198",1670.50660266596,8398.30498109705,0.383457264693837,2765.79322362691,0,"2019.WC.1",16,6,4,1,0,4,7.42148065599651,1,1,-0.939641437061175
"9",3,"dammed","WC",2019,1383.4216,33.2348025607962,1.12852775993408,5,"195",185.640408330338,12906.8225463269,0.411017644751973,2551.09455936402,4.51411103973632,"2019.WC.3",34,6,1,1,1,1,5.22918381550728,1,1,0.494824112919832
"10",3,"dammed","WC",2019,1383.4216,33.2348025607962,1.12852775993408,6,"196",133.24267183963,14612.7421544393,0.389541938550883,2551.09455936402,4.51411103973632,"2019.WC.3",34,6,2,1,1,2,4.89964914597456,1,1,0.494824112919832
"11",3,"dammed","WC",2019,1383.4216,33.2348025607962,1.12852775993408,7,"197",352.949266746231,14053.5310866711,0.377267807715661,2551.09455936402,4.51411103973632,"2019.WC.3",34,6,3,1,1,3,5.86915358858712,1,1,0.494824112919832
"12",3,"dammed","WC",2019,1383.4216,33.2348025607962,1.12852775993408,8,"198",2156.51879237025,7982.928982155,0.361348708356781,2551.09455936402,4.51411103973632,"2019.WC.3",34,6,4,1,1,4,7.67671413317237,1,1,0.494824112919832
"13",3,"undammed","WC",2019,1383.4216,33.1194335659017,0,5,"195",108.105306135907,14254.1002126656,0.357645964039872,2523.24443988502,0,"2019.WC.3",34,6,1,1,0,1,4.69231352718254,1,1,-0.939641437061175
"14",3,"undammed","WC",2019,1383.4216,33.1194335659017,0,6,"196",332.593339104045,14859.1571464389,0.346832562858158,2523.24443988502,0,"2019.WC.3",34,6,2,1,0,2,5.80992270357076,1,1,-0.939641437061175
"15",3,"undammed","WC",2019,1383.4216,33.1194335659017,0,7,"197",375.070017874007,14515.779175074,0.324063847887887,2523.24443988502,0,"2019.WC.3",34,6,3,1,0,3,5.92977534380354,1,1,-0.939641437061175
"16",3,"undammed","WC",2019,1383.4216,33.1194335659017,0,8,"198",2282.45611490432,10309.500192171,0.307239182242671,2523.24443988502,0,"2019.WC.3",34,6,4,1,0,4,7.73344541409325,1,1,-0.939641437061175
"17",4,"dammed","WC",2019,1363.905,45.551622376863,1.1311565675576,5,"195",1925.38107475253,10837.6982176238,0.404778182839401,3883.05703376234,4.5246262702304,"2019.WC.4",43,6,1,1,1,1,7.5633984309137,1,1,0.498165576114045
"18",4,"dammed","WC",2019,1363.905,45.551622376863,1.1311565675576,6,"196",1732.55089533843,10717.3998583326,0.380861306155446,3883.05703376234,4.5246262702304,"2019.WC.4",43,6,2,1,1,2,7.45792712456627,1,1,0.498165576114045
"19",4,"dammed","WC",2019,1363.905,45.551622376863,1.1311565675576,7,"197",1930.4814201535,9186.86797838398,0.378749474289787,3883.05703376234,4.5246262702304,"2019.WC.4",43,6,3,1,1,3,7.56604256267281,1,1,0.498165576114045
"20",4,"dammed","WC",2019,1363.905,45.551622376863,1.1311565675576,8,"198",3674.58465889248,4379.31082973106,0.340208522368592,3883.05703376234,4.5246262702304,"2019.WC.4",43,6,4,1,1,4,8.20946748984843,1,1,0.498165576114045
"21",4,"undammed","WC",2019,1363.9509,40.2597745841464,0,5,"195",763.035734937705,12512.7738453585,0.411088580958593,3250.89158758521,0,"2019.WC.4",43,6,1,1,0,1,6.63861456155135,1,1,-0.939641437061175
"22",4,"undammed","WC",2019,1363.9509,40.2597745841464,0,6,"196",783.765784891914,12544.4821103264,0.378769018076186,3250.89158758521,0,"2019.WC.4",43,6,2,1,0,2,6.66538531006824,1,1,-0.939641437061175
"23",4,"undammed","WC",2019,1363.9509,40.2597745841464,0,7,"197",699.294900429483,11644.7986168057,0.369137299616291,3250.89158758521,0,"2019.WC.4",43,6,3,1,0,3,6.55150153265507,1,1,-0.939641437061175
"24",4,"undammed","WC",2019,1363.9509,40.2597745841464,0,8,"198",2932.11288040596,3360.24059564927,0.377589809585974,3250.89158758521,0,"2019.WC.4",43,6,4,1,0,4,7.9838195545669,1,1,-0.939641437061175
"25",5,"dammed","WC",2019,844.21106,36.6882415732789,1.13437961646556,5,"195",171.829135939654,4251.82294796214,0.274371312572452,3305.28809922934,4.53751846586224,"2019.WC.5",52,6,1,1,1,1,5.15230345291864,1,1,0.502262376200418
"26",5,"dammed","WC",2019,844.21106,36.6882415732789,1.13437961646556,6,"196",371.910170397338,7518.00711891324,0.260175186502813,3305.28809922934,4.53751846586224,"2019.WC.5",52,6,2,1,1,2,5.92133756060566,1,1,0.502262376200418
"27",5,"dammed","WC",2019,844.21106,36.6882415732789,1.13437961646556,7,"197",264.161734682438,10235.7375263289,0.275306282146693,3305.28809922934,4.53751846586224,"2019.WC.5",52,6,3,1,1,3,5.58033995937336,1,1,0.502262376200418
"28",5,"dammed","WC",2019,844.21106,36.6882415732789,1.13437961646556,8,"198",2439.63276561732,10356.2653025608,0.337302185146722,3305.28809922934,4.53751846586224,"2019.WC.5",52,6,4,1,1,4,7.80001261483802,1,1,0.502262376200418
"29",5,"undammed","WC",2019,844.5446,34.007423501777,0,5,"195",171.286802994971,12593.0667371563,0.294809842456488,2813.72452360392,0,"2019.WC.5",52,6,1,1,0,1,5.14916054741981,1,1,-0.939641437061175
