"clusterID_seq","window_type","sum_c","mean_p","mean_f","Nhat","TO_mean","riparian_area_sum","catchment_area_max","contains_null","time_period","SWA","t"
"1","dammed",1,0.908065065078761,0.0263184384567742,1.13100906602094,51.5887007842572,1056.90362106357,288.19574,FALSE,"sum_SWA_t1",184.571946837154,"1"
"1","dammed",1,0.908065065078761,0.0263184384567742,1.13100906602094,51.5887007842572,1056.90362106357,288.19574,FALSE,"sum_SWA_t2",0,"2"
"1","dammed",1,0.908065065078761,0.0263184384567742,1.13100906602094,51.5887007842572,1056.90362106357,288.19574,FALSE,"sum_SWA_t3",0,"3"
"1","dammed",1,0.908065065078761,0.0263184384567742,1.13100906602094,51.5887007842572,1056.90362106357,288.19574,FALSE,"sum_SWA_t4",100.02020573429,"4"
"1","dammed",1,0.908065065078761,0.0263184384567742,1.13100906602094,51.5887007842572,1056.90362106357,288.19574,FALSE,"sum_SWA_t5",0,"5"
"1","dammed",1,0.908065065078761,0.0263184384567742,1.13100906602094,51.5887007842572,1056.90362106357,288.19574,FALSE,"sum_SWA_t6",0,"6"
"1","dammed",1,0.908065065078761,0.0263184384567742,1.13100906602094,51.5887007842572,1056.90362106357,288.19574,FALSE,"sum_SWA_t7",0,"7"
"1","dammed",1,0.908065065078761,0.0263184384567742,1.13100906602094,51.5887007842572,1056.90362106357,288.19574,FALSE,"sum_SWA_t8",31.5702019256704,"8"
"1","undammed",0,0.900955962652558,0.026174560578895,0,39.4193062667632,2033.66443425044,288.19574,FALSE,"sum_SWA_t1",0,"1"
"1","undammed",0,0.900955962652558,0.026174560578895,0,39.4193062667632,2033.66443425044,288.19574,FALSE,"sum_SWA_t2",0,"2"
"1","undammed",0,0.900955962652558,0.026174560578895,0,39.4193062667632,2033.66443425044,288.19574,FALSE,"sum_SWA_t3",0,"3"
"1","undammed",0,0.900955962652558,0.026174560578895,0,39.4193062667632,2033.66443425044,288.19574,FALSE,"sum_SWA_t4",72.3869833247334,"4"
"1","undammed",0,0.900955962652558,0.026174560578895,0,39.4193062667632,2033.66443425044,288.19574,FALSE,"sum_SWA_t5",0,"5"
"1","undammed",0,0.900955962652558,0.026174560578895,0,39.4193062667632,2033.66443425044,288.19574,FALSE,"sum_SWA_t6",10.1735649891928,"6"
"1","undammed",0,0.900955962652558,0.026174560578895,0,39.4193062667632,2033.66443425044,288.19574,FALSE,"sum_SWA_t7",0,"7"
"1","undammed",0,0.900955962652558,0.026174560578895,0,39.4193062667632,2033.66443425044,288.19574,FALSE,"sum_SWA_t8",0,"8"
"8","dammed",2,0.883050866951441,0.03955066482324,2.35814124386695,36.2204522389813,4370.61589911766,288.17282,FALSE,"sum_SWA_t1",0,"1"
"8","dammed",2,0.883050866951441,0.03955066482324,2.35814124386695,36.2204522389813,4370.61589911766,288.17282,FALSE,"sum_SWA_t2",0,"2"
"8","dammed",2,0.883050866951441,0.03955066482324,2.35814124386695,36.2204522389813,4370.61589911766,288.17282,FALSE,"sum_SWA_t3",0,"3"
"8","dammed",2,0.883050866951441,0.03955066482324,2.35814124386695,36.2204522389813,4370.61589911766,288.17282,FALSE,"sum_SWA_t4",0,"4"
"8","dammed",2,0.883050866951441,0.03955066482324,2.35814124386695,36.2204522389813,4370.61589911766,288.17282,FALSE,"sum_SWA_t5",0,"5"
"8","dammed",2,0.883050866951441,0.03955066482324,2.35814124386695,36.2204522389813,4370.61589911766,288.17282,FALSE,"sum_SWA_t6",233.944672457845,"6"
"8","dammed",2,0.883050866951441,0.03955066482324,2.35814124386695,36.2204522389813,4370.61589911766,288.17282,FALSE,"sum_SWA_t7",0,"7"
"8","dammed",2,0.883050866951441,0.03955066482324,2.35814124386695,36.2204522389813,4370.61589911766,288.17282,FALSE,"sum_SWA_t8",0,"8"
"8","undammed",0,0.931460404843673,0.0283898199296093,0,44.437728085318,12524.832849849,NA,FALSE,"sum_SWA_t1",0,"1"
"8","undammed",0,0.931460404843673,0.0283898199296093,0,44.437728085318,12524.832849849,NA,FALSE,"sum_SWA_t2",0,"2"
"8","undammed",0,0.931460404843673,0.0283898199296093,0,44.437728085318,12524.832849849,NA,FALSE,"sum_SWA_t3",0,"3"
"8","undammed",0,0.931460404843673,0.0283898199296093,0,44.437728085318,12524.832849849,NA,FALSE,"sum_SWA_t4",0,"4"
"8","undammed",0,0.931460404843673,0.0283898199296093,0,44.437728085318,12524.832849849,NA,FALSE,"sum_SWA_t5",0,"5"
