system:index,Input_FID,Poly_unique_id,dam_count_all,dam_count_anthro,dam_count_confident,.geo
00000000000000002c47,1,lrb_1441,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27113559149579,48.42072889173245],[-107.27111684670477,48.42076050110455],[-107.27107827524502,48.420797053739655],[-107.27114092706691,48.420849366463806],[-107.27117413195272,48.42083976911099],[-107.2712147540813,48.42084793563952],[-107.27126739085482,48.42082451152591],[-107.27126699606033,48.420815628078955],[-107.27113559149579,48.42072889173245]]]}"
00000000000000002c61,2,lrb_1441,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27123372690279,48.42067333799179],[-107.2712345612863,48.42069117638383],[-107.2712359301983,48.4207224272849],[-107.27118231948437,48.42072348384705],[-107.27113539411395,48.42072445001608],[-107.27113559149579,48.42072889173245],[-107.27126699606033,48.420815628078955],[-107.27127895299031,48.42078412483513],[-107.27131796393842,48.42075652711007],[-107.27133055783139,48.42073842058704],[-107.27133714821744,48.42073387267896],[-107.27123372690279,48.42067333799179]]]}"
00000000000000002c71,3,lrb_1441,0,0,0,"{""type"":""GeometryCollection"",""geometries"":[{""type"":""LineString"",""coordinates"":[[-107.27129099453171,48.42060079460883],[-107.2713045396173,48.420604973116696]]},{""type"":""Polygon"",""coordinates"":[[[-107.27130451582264,48.42060497949784],[-107.27129846753172,48.4206184665328],[-107.27129099453171,48.42060079460883],[-107.27129099261784,48.42060079008298],[-107.2712771247509,48.4205921032334],[-107.27125745079792,48.42060141665853],[-107.27124583106553,48.42064189056533],[-107.2712335295086,48.420668896280546],[-107.27123372690279,48.42067333799179],[-107.27133714821744,48.42073387267896],[-107.27137615909076,48.420706274958135],[-107.27141457767193,48.42066535210568],[-107.27142776374961,48.42066057072908],[-107.27130451582264,48.42060497949784]]]}]}"
00000000000000002c64,4,lrb_1441,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27136070465703,48.42051008006836],[-107.27136090206787,48.420514521765725],[-107.27132169400035,48.4205376776761],[-107.27130929758675,48.42056022582949],[-107.2712771247509,48.4205921032334],[-107.27130451582264,48.42060497949784],[-107.27142776374961,48.42066057072908],[-107.2714476799577,48.42065577050999],[-107.27147297002385,48.42061954169222],[-107.27151217815468,48.42059638568306],[-107.27136070465703,48.42051008006836]]]}"
00000000000000002c48,5,lrb_1441,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27147861568453,48.42044519708975],[-107.2714121116107,48.420459934329756],[-107.27136070465703,48.42051008006836],[-107.27151217815468,48.42059638568306],[-107.27154488552215,48.420577920662964],[-107.27158389615501,48.4205503229445],[-107.27159668731441,48.42053665815887],[-107.27147861568453,48.42044519708975]]]}"
00000000000000002c3c,6,lrb_1441,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27158304056626,48.42038066955392],[-107.27147861568453,48.42044519708975],[-107.27159668731441,48.42053665815887],[-107.27160991815538,48.4205319483129],[-107.27165551904197,48.420499802685136],[-107.27168227313749,48.4204992821865],[-107.27170204948025,48.42048995287878],[-107.27158304056626,48.42038066955392]]]}"
00000000000000002c3a,7,lrb_1441,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.2717291768507,48.4203465008146],[-107.27166273052458,48.42036115084039],[-107.27166150102475,48.420334429205056],[-107.27166106131978,48.42032547430114],[-107.27162879390018,48.42035289417453],[-107.27158304056626,48.42038066955392],[-107.27170204948025,48.42048995287878],[-107.27173515163634,48.420480371218844],[-107.27180790143511,48.42045658841277],[-107.27181434447567,48.42045198477052],[-107.2717291768507,48.4203465008146]]]}"
00000000000000002c41,8,lrb_1441,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27187403863428,48.420285538729196],[-107.27184718217903,48.420286075091916],[-107.27183385641399,48.42028632745507],[-107.27182042819088,48.42028659563164],[-107.27174924556533,48.42034607070366],[-107.2717291768507,48.4203465008146],[-107.27181434447567,48.42045198477052],[-107.27186619074106,48.42041079376963],[-107.27190667304863,48.420414430895406],[-107.27187403863428,48.420285538729196]]]}"
00000000000000002c3d,9,lrb_1441,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27196846863234,48.42029708959986],[-107.27191422087081,48.42028474998614],[-107.27187403863428,48.420285538729196],[-107.27190667304863,48.420414430895406],[-107.27191331355507,48.42041426893669],[-107.27196672675072,48.42040877028809],[-107.2720138944327,48.420412316946816],[-107.2720481008937,48.42027765795654],[-107.27196846863234,48.42029708959986]],[[-107.27203570492485,48.420300206082594],[-107.27202207917502,48.42029603261216],[-107.27202271646229,48.4203094291841],[-107.27203570492485,48.420300206082594]]]}"
00000000000000002c40,10,lrb_1440,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27208307001294,48.420308194379125],[-107.27206807459976,48.42027277028929],[-107.2720481008937,48.42027765795654],[-107.2720138944327,48.420412316946816],[-107.27211487041922,48.42041924821994],[-107.27213557658139,48.42043221462584],[-107.2721909286386,48.420319476812544],[-107.27208307001294,48.420308194379125]]]}"
00000000000000002c34,11,lrb_1440,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27229898498545,48.420335200800004],[-107.27222447053555,48.4203188499127],[-107.2721909286386,48.420319476812544],[-107.27213557658139,48.42043221462584],[-107.27214245942235,48.420436565880166],[-107.272189429736,48.420435670763965],[-107.27220949859644,48.42043524055255],[-107.27225695904305,48.42044768627911],[-107.27234024473209,48.42035676334953],[-107.27229898498545,48.420335200800004]]]}"
00000000000000002c38,12,lrb_1440,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27243707802529,48.42042184438497],[-107.27238238976503,48.420400550113726],[-107.27235396566013,48.4203653942727],[-107.27234024473209,48.42035676334953],[-107.27225695904305,48.42044768627911],[-107.27226394437088,48.42045202170949],[-107.27229113846289,48.4204604559568],[-107.27233215599445,48.42047750532493],[-107.27235330218636,48.420499426618335],[-107.27246422737811,48.420430207034386],[-107.27243707802529,48.42042184438497]]]}"
00000000000000002c42,13,lrb_1440,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.2725341093051,48.420491367080565],[-107.27251340288086,48.420478400752785],[-107.27249265166579,48.42046536288082],[-107.2724648648256,48.42044360363298],[-107.27246422737811,48.420430207034386],[-107.27235330218636,48.420499426618335],[-107.27237474101479,48.42053024711791],[-107.2724023302963,48.42054756473248],[-107.27241619858486,48.420556251401834],[-107.2724301171521,48.42056932404032],[-107.27254827027564,48.420508952918375],[-107.27254783035444,48.420499997994746],[-107.2725341093051,48.420491367080565]]]}"
00000000000000002c33,14,lrb_1440,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27259262094042,48.42060182880811],[-107.27259169078928,48.42057953296154],[-107.27254866538702,48.420517836301066],[-107.27254827027564,48.420508952918375],[-107.2724301171521,48.42056932404032],[-107.27244462289616,48.42059140734478],[-107.27248676833952,48.42063519424508],[-107.27259994383202,48.42061513498143],[-107.27259262094042,48.42060182880811]]]}"
00000000000000002c36,15,lrb_1440,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27262285554703,48.420677190492945],[-107.27259994383202,48.42061513498143],[-107.27248676833952,48.42063519424508],[-107.27249014576908,48.420711092575125],[-107.27248390026202,48.42072013799401],[-107.2726380492718,48.420717056453086],[-107.27263701663554,48.42069477637584],[-107.27262285554703,48.420677190492945]]]}"
00000000000000002c46,16,lrb_1440,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27263829164724,48.42072156970378],[-107.2726380492718,48.420717056453086],[-107.27248390026202,48.42072013799401],[-107.2724541303367,48.42080554688724],[-107.27245437268871,48.420810060146465],[-107.2726487051404,48.42080618955944],[-107.27266149615689,48.42079252457036],[-107.27265284789388,48.42074803901834],[-107.27267906739291,48.42073410574014],[-107.27263829164724,48.42072156970378]],[[-107.27262662838224,48.420761972293356],[-107.27260611932401,48.42075344763563],[-107.27259372342873,48.42077599603252],[-107.27262662838224,48.420761972293356]]]}"
00000000000000002c45,17,lrb_1440,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27245437268871,48.420810060146465],[-107.27245510520528,48.42082791437466],[-107.27245687024185,48.42086804875391],[-107.27249872335459,48.420902936602765],[-107.2726188403511,48.42088714109655],[-107.27259178568906,48.42088323596768],[-107.27261697267524,48.42084702252682],[-107.27263591411578,48.42081985455052],[-107.2726487051404,48.42080618955944],[-107.27245437268871,48.420810060146465]]]}"
00000000000000002c49,18,lrb_1440,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27263417404514,48.420931536297395],[-107.2726324088172,48.42089140187857],[-107.2726188403511,48.42088714109655],[-107.27249872335459,48.420902936602765],[-107.27251259180495,48.42091162331188],[-107.27252695045205,48.42093365101422],[-107.27252871556107,48.42097378546971],[-107.2725295505715,48.4209916239349],[-107.27265615579105,48.42097129615415],[-107.27263417404514,48.420931536297395]]]}"
