system:index,Input_FID,SWA_t1,SWA_t2,SWA_t3,SWA_t4,SWA_t5,SWA_t6,SWA_t7,SWA_t8,containsNull_t1,containsNull_t2,containsNull_t3,containsNull_t4,containsNull_t5,containsNull_t6,containsNull_t7,containsNull_t8,riparian_area_m2,.geo
00000000000000001f39,1354,366.2097827434539,350.57615619757587,143.30671398382563,206.46946487613752,194.78789804986877,234.7413886042202,209.5638549764951,204.74890558766384,0,0,0,0,0,0,0,0,671.1040199957788,"{""type"":""MultiPolygon"",""coordinates"":[[[[-107.28331990516153,48.37562941672786],[-107.28323770098405,48.3755908447209],[-107.28324285596261,48.375555004600486],[-107.28273912694814,48.37598483222403],[-107.2828165737425,48.376068121238006],[-107.28332678239948,48.37563376367319],[-107.28331990516153,48.37562941672786]]],[[[-107.28338921807831,48.375529726979465],[-107.2833754060645,48.37552112040322],[-107.28336154926839,48.37551244234857],[-107.28334096239423,48.375499473025684],[-107.28332047237858,48.37549095739515],[-107.2832558264508,48.37554578817014],[-107.28330230222043,48.375535942431576],[-107.28335134187671,48.37558410675168],[-107.28336559706786,48.375601660602086],[-107.28341702856342,48.37555153678352],[-107.28341682936984,48.3755470988962],[-107.28338921807831,48.375529726979465]]]]}"
00000000000000001f35,1355,342.1349302658847,270.0800774155879,142.54794544799654,208.42455618568488,185.01442645437575,247.671413359455,247.73658605977593,145.7023965802847,0,0,0,0,0,0,0,0,696.5507160611451,"{""type"":""MultiPolygon"",""coordinates"":[[[[-107.28343805869147,48.375573453356324],[-107.28341702856342,48.37555153678352],[-107.28336559706786,48.375601660602086],[-107.28337311666391,48.375619392698006],[-107.28344918313402,48.375671456539884],[-107.28351372681031,48.375616641314835],[-107.28343805869147,48.375573453356324]]],[[[-107.28339532916978,48.37566809545271],[-107.283381375469,48.37565496367056],[-107.28336776260147,48.37565079496986],[-107.2833538089206,48.37563766318746],[-107.28332678239948,48.37563376367319],[-107.2828165737425,48.376068121238006],[-107.28282379721021,48.37607696185749],[-107.28291991042887,48.37612859505286],[-107.2834363094708,48.37568512672861],[-107.28339532916978,48.37566809545271]]]]}"
00000000000000001f3b,1356,344.49632794740154,198.1894757011357,200.14464694261548,181.04925822931165,249.1517818366779,262.14459786485213,262.14459786485213,168.05644220113743,0,0,0,0,0,0,0,0,707.5745701640844,"{""type"":""Polygon"",""coordinates"":[[[-107.28359667088857,48.37567305196257],[-107.28357583979151,48.375655573283304],[-107.28355534958584,48.37564705768272],[-107.28352070642651,48.37562097243276],[-107.28351372681031,48.375616641314835],[-107.28344918313402,48.375671456539884],[-107.28346293767666,48.375680150417054],[-107.28344308988817,48.375685019959114],[-107.2834363094708,48.37568512672861],[-107.28291991042887,48.37612859505286],[-107.28294752177331,48.37614596729823],[-107.28303591682283,48.37617543016655],[-107.28361048304068,48.37568165852804],[-107.28361028382442,48.37567722063086],[-107.28359667088857,48.37567305196257]]]}"
00000000000000001ef3,1357,413.3386529539146,210.91081988764742,210.91081988764742,190.25140817188753,198.37449728437502,197.00847981279975,222.16234447582096,191.6174256434628,0,0,0,0,0,0,0,0,658.7671481408179,"{""type"":""Polygon"",""coordinates"":[[[-107.28365289013199,48.37572998525517],[-107.28365224767717,48.3757166000756],[-107.28363849304856,48.375707906221756],[-107.28361048304068,48.37568165852804],[-107.28303591682283,48.37617543016655],[-107.28311747959026,48.37620061743792],[-107.28316479758733,48.37620859487505],[-107.28369431397773,48.375755963716635],[-107.28365289013199,48.37572998525517]]]}"
00000000000000001f38,1358,359.4591363860113,187.63100216715944,187.63100216715944,287.36044494381144,228.76280705718438,228.76280705718438,443.2547871152561,228.76280705718438,0,0,0,0,0,0,0,0,614.6892606914043,"{""type"":""Polygon"",""coordinates"":[[[-107.2837699381692,48.37579908012158],[-107.28369431397773,48.375755963716635],[-107.28316479758733,48.37620859487505],[-107.2833131284921,48.37622801396178],[-107.2837975499435,48.37581645200448],[-107.2837699381692,48.37579908012158]]]}"
00000000000000001f3d,1359,347.2192588570071,238.24623388823343,190.64959830630067,238.26194283775254,192.55015241375153,199.82860042885235,379.3907932297856,199.82860042885235,0,0,0,0,0,0,0,0,544.6392624787986,"{""type"":""Polygon"",""coordinates"":[[[-107.28388594574606,48.37584591388981],[-107.2837975499435,48.37581645200448],[-107.2833131284921,48.37622801396178],[-107.28332654237246,48.376227744765956],[-107.28350685642172,48.37621078458546],[-107.28392663052082,48.37585405336411],[-107.28388594574606,48.37584591388981]],[[-107.28385946448628,48.3758509460046],[-107.28382595871669,48.375851575523],[-107.28383347860968,48.37586930765849],[-107.28385946448628,48.3758509460046]]]}"
00000000000000001f0c,1360,333.3035915788483,243.5770301694963,213.79851026511653,261.35365758947296,174.2600036847825,261.35365758947296,344.19518513936634,261.35365758947296,0,0,0,0,0,0,0,0,408.3326191715896,"{""type"":""Polygon"",""coordinates"":[[[-107.2840101163401,48.37592386490348],[-107.28399616223933,48.375910733157724],[-107.28400141352347,48.37587934652097],[-107.28396696893687,48.375857699245536],[-107.28392663052082,48.37585405336411],[-107.28350685642172,48.37621078458546],[-107.28354011840699,48.37620564574867],[-107.28370548980863,48.37615767442051],[-107.2837644417811,48.376125282108525],[-107.28377127439887,48.376129557579915],[-107.28399714578858,48.37593308150258],[-107.2840101163401,48.37592386490348]],[[-107.28399714578858,48.37593308150258],[-107.2839835902113,48.375928825583955],[-107.28398393117972,48.37593778870684],[-107.28399714578858,48.37593308150258]]]}"
00000000000000001f09,1361,328.8118140730202,225.85531372883744,198.32397368374995,254.41119273900983,225.85531372883744,255.69117014408113,266.0300553733227,254.41119273900983,0,0,0,0,0,0,0,0,330.1030837446451,"{""type"":""Polygon"",""coordinates"":[[[-107.28413147844398,48.375939295977126],[-107.28407129186509,48.375940519863775],[-107.2840239735317,48.37593254292156],[-107.2840101163401,48.37592386490348],[-107.28377127439887,48.376129557579915],[-107.2837782541555,48.37613388871725],[-107.2838334334242,48.37616856120298],[-107.28383501458453,48.376204223478084],[-107.28384876946131,48.37621291737844],[-107.28415874958517,48.37594770466791],[-107.28413147844398,48.375939295977126]]]}"
00000000000000001f0a,1362,320.63359541635873,272.1663456416597,198.32107233159687,234.03566247972793,272.1611318892123,312.00219132199004,313.91042642570005,234.03566247972793,0,0,0,0,0,0,0,0,369.3247611001134,"{""type"":""MultiPolygon"",""coordinates"":[[[[-107.2838159827102,48.37637877875551],[-107.28379475262876,48.37635242400001],[-107.28381008866644,48.3763967803346],[-107.28384216821294,48.376364854874055],[-107.2838159827102,48.37637877875551]]],[[[-107.2842544671882,48.37599046048748],[-107.28423353312147,48.37597299767505],[-107.28421294550367,48.375960028445746],[-107.28415874958517,48.37594770466791],[-107.28384876946131,48.37621291737844],[-107.28386926010043,48.37622143299587],[-107.28388331658704,48.376234549023344],[-107.28391722122309,48.376242795355566],[-107.28397131499165,48.37625513514518],[-107.2842678811162,48.37599019116026],[-107.2842544671882,48.37599046048748]]]]}"
00000000000000001f3f,1363,290.3491609863205,246.6890330298275,231.9653514046296,256.41806622112495,217.13749032371192,289.0222623142541,332.83590111475354,256.41806622112495,0,0,0,0,0,0,0,0,494.61668050661683,"{""type"":""MultiPolygon"",""coordinates"":[[[[-107.28433529183695,48.37599780762503],[-107.28430178576512,48.3759984373187],[-107.2842678811162,48.37599019116026],[-107.28397131499165,48.37625513514518],[-107.28397805075934,48.376254956854915],[-107.28398537154183,48.3762682511644],[-107.28401200026335,48.37626327463321],[-107.28408678419143,48.376288567894335],[-107.28410747425197,48.37630152141565],[-107.28436949280135,48.37601494541407],[-107.28433529183695,48.37599780762503]]],[[[-107.28399822053251,48.37640644317036],[-107.28397911176926,48.37642915201974],[-107.28395828001543,48.37641167319212],[-107.28393125269346,48.37640777381151],[-107.28392491540018,48.37641682801302],[-107.28390432773067,48.37640385861095],[-107.28391749771716,48.3763990798937],[-107.28390344115677,48.37638596383262],[-107.2838699796801,48.3763866648638],[-107.28390775393522,48.37633229987071],[-107.28384216821294,48.376364854874055],[-107.28381008866644,48.3763967803346],[-107.28381073116589,48.37641016568276],[-107.28384130645914,48.37649442469815],[-107.28388366998738,48.37654268055036],[-107.28400509803654,48.37641079012375],[-107.28399822053251,48.37640644317036]],[[-107.28387888162645,48.37643562164344],[-107.28388595835695,48.37644440656759],[-107.28389892911187,48.376435189889946],[-107.28387888162645,48.37643562164344]]]]}"
