stream,Input_FID,Shape_Area_0,NDVI_veg19_0,Veg_area_veg19_0
brz,754,237.019130684,0.6722317197129818,239.0938344918045
brz,1551,451.158711297,0.6678206537924949,446.60482596603083
brz,1598,837.919727948,0.5703589114955532,825.9981462665633
brz,1926,497.248515467,0.3279368479186276,513.7024611529181
brz,2114,93.5757273174,0.36152042588617045,91.86325513054344
brz,2116,1.95950007502,0.41312958134545225,2.3554674933938418
brz,2115,88.1585194898,0.4016383131804494,90.5546552471086
brz,2113,78.8267638391,0.41014258503913886,78.51556216969209
brz,2107,99.6906613029,0.5043540478074003,97.09690521838618
brz,2111,116.356201959,0.5755861817590342,116.98789152257584
brz,2110,95.0060612268,0.5984619824069269,93.17143001182406
brz,2109,89.845941723,0.5720378822750516,89.5072634528665
brz,2108,96.0490658545,0.5188882684612528,98.40555778952206
brz,2019,233.816649374,0.33293823496339614,238.94080672918582
brz,2099,103.247347137,0.3763234767162405,110.44491678873698
brz,2102,123.99712396,0.46737344591241137,124.31570225135953
brz,2104,106.516837331,0.45925448772655364,106.518741682464
brz,2093,127.677097838,0.5756915934750292,127.71782379150389
brz,2106,108.400441394,0.4691021399164577,99.19063559139477
brz,2098,120.393847564,0.4158805450252439,127.45655595368031
brz,2094,246.678153349,0.556503656670011,248.10802495619828
brz,2082,858.563152404,0.3196806709316386,867.3417734482709
brz,2083,847.663548454,0.35162668762611055,858.7028496536553
brz,2096,283.176115369,0.4458374749828762,289.9836810542088
brz,2095,376.114393184,0.4743076914190825,370.3307664160635
brz,2097,171.896576977,0.40833548743709885,166.9762483783797
brz,2103,107.078954277,0.4650614899325083,108.6125603170956
brz,2100,130.20659098,0.4056330540794536,127.97998010971968
brz,2088,650.485116268,0.3769901425129007,646.4425938026579
brz,2101,131.971951942,0.4977251016221971,132.42906075271907
brz,2090,646.856705973,0.3222378922040757,645.1316468781115
brz,2092,217.697474451,0.4969144700129339,213.2992365220014
brz,2020,795.363597778,0.2734625675021665,615.8030252494065
brz,2058,941.366051143,0.31251596438398277,570.8017486273073
brz,2112,107.554130491,0.4708929253787529,107.30449257644952
brz,2077,1152.50235849,0.2698051292818184,1170.6875740500057
brz,2079,613.336676085,0.34729783399631714,609.0264441097485
brz,2081,724.749280128,0.32736908263277154,711.6191885555494
brz,2073,785.203570291,0.2656473257870619,589.9222820506375
brz,2080,869.816694365,0.306994676913615,879.6459557925953
brz,2075,1222.32165671,0.239668371388296,1241.6178140677657
brz,2078,904.062836422,0.29673969279537443,891.949886935365
brz,2074,1372.78111422,0.22522287148234793,1283.4918785843192
brz,2070,363.020686042,0.4021850589616258,356.20235182818243
brz,2076,1034.87353108,0.25689140173182806,1003.7099019368488
brz,2072,959.939035743,0.29923121321687746,429.74724192899816
brz,2068,503.000293583,0.381675617144658,510.35374585319977
brz,2069,512.199112453,0.38088243362181157,512.1870764638863
brz,2071,1191.47378588,0.26808845404330195,465.34023222081805
brz,2065,687.907402027,0.32565047253837004,554.8443395577225
brz,2066,1160.94453959,0.2937384678396521,406.1888333189722
brz,2064,739.439418836,0.31464112956384915,579.1832778332282
brz,2084,799.455500453,0.4465103900748896,789.0833277982827
brz,2060,693.849279535,0.31338092623152064,690.1475873161764
brz,2067,488.095750597,0.38968803044322725,454.3456662645527
brz,2062,958.603053802,0.2883361224630222,688.5790660184972
brz,2089,789.442574134,0.3267806540235092,739.8741215425379
brz,2085,549.34652234,0.49900274673626893,552.2272807102578
brz,2086,623.228781445,0.40714727648162685,623.1519930072859
brz,2087,661.275284999,0.3252441769679038,656.126837457395
brz,2040,817.370393738,0.32972722564242846,244.96534118652343
brz,2059,743.666638439,0.3056871946884615,592.0024018829945
brz,2063,892.419470477,0.30921241829395296,490.7218138750861
brz,2055,861.6566061,0.28648074289310305,635.1844167073568
brz,2061,592.873233355,0.40133735397353104,587.0326129988129
brz,2057,634.773984463,0.3389840690932762,560.8573850743911
brz,2049,921.370912331,0.35983245444574613,540.9651640948127
brz,2054,868.60384008,0.2779769654797296,628.3794681623871
brz,2043,834.626663021,0.30341297422574104,463.49791630763633
brz,2047,741.474469454,0.42561281467258527,451.1963630825865
brz,2045,754.194949008,0.39362166137894833,431.5681515562768
brz,2041,540.067817948,0.3334633821580704,310.39409864837046
brz,2037,566.240785449,0.38318559533831176,303.0647710762772
brz,2042,789.2271676,0.3149188186933883,345.9874079685585
brz,2044,471.772272347,0.37378401005050943,416.65037228453394
brz,2034,458.774772309,0.4401684762963227,366.399002494064
brz,2056,929.996121388,0.28829704050242344,754.0017724429862
brz,2053,1086.33889427,0.27489872821786787,710.554937175676
brz,1976,594.936477773,0.29538356454230263,579.4128644157859
brz,2091,474.397817015,0.42081961062352535,468.7350452198702
brz,2105,120.273532708,0.47430140347079897,118.29594367532171
brz,2021,435.267246463,0.3448772808680167,248.36323433670347
brz,2027,595.544536907,0.40304954915711316,591.4689304127412
brz,2024,485.642188958,0.35897379585309325,493.8495808320887
brz,2026,549.369560022,0.40415348975725895,554.8288542803596
brz,2014,365.762639902,0.3875120931799231,362.4681975420783
brz,2022,626.995961137,0.26654303517194355,555.0894900452857
brz,2015,284.831574988,0.39382087817979505,285.2635185391295
brz,2025,561.676801939,0.3643478736101529,563.7270292394302
brz,2023,788.884566379,0.2754075891711425,562.41829699348
brz,2016,311.363196586,0.3798391314258674,304.10673905914905
brz,2013,310.158095523,0.40893884552288223,302.5365102132162
brz,2050,764.447875171,0.3698000615522198,573.1555506388346
brz,2052,876.73182292,0.2800560790654474,867.8444728776522
brz,2051,776.958940255,0.31606646374347924,666.325519397212
brz,2030,581.09468507,0.5391815738934835,585.4520218493892
brz,2048,846.214183226,0.4010972234133086,451.19637564864814
brz,2046,759.078898137,0.42526102807409694,422.9312940410539
brz,2033,445.770942085,0.47240478880056386,421.88200913971554
brz,2031,691.650270026,0.47215728019100195,577.0764322916666
brz,2017,181.605811323,0.3803192484117773,179.27099175546684
brz,2012,468.005561864,0.35871368103418577,475.26553518257896
brz,2032,645.463554939,0.47400911308647065,504.05921864229094
brz,2028,577.314287622,0.4560966587309384,578.3841009700999
brz,2011,525.848568084,0.33584196364317126,515.8307406556373
brz,1977,1091.49076955,0.26033840752765797,1105.179742670994
brz,2008,811.578186219,0.32607493430278656,800.831544345033
brz,2029,692.371340673,0.4433082333904879,671.81554182464
brz,2009,643.395226464,0.34505613866531065,641.7123376883712
brz,2006,1138.57747741,0.30664906721340907,1141.312130797143
brz,2039,1774.52682611,0.3169630678636687,256.4806811762791
brz,1998,824.515191673,0.3541144565029708,594.8679209391275
brz,2036,610.722178973,0.38033764835979256,337.08728574865006
brz,2038,1702.75158175,0.39017725763384437,255.4331445432177
brz,1992,1384.28460141,0.25119741185854644,1390.7330028159947
brz,1994,862.315373014,0.3098840581785355,468.98617101931103
brz,2003,707.813309478,0.3583335817931654,393.08933775658704
brz,2035,764.33468263,0.35182302435162893,409.057963143143
brz,2002,1022.23273885,0.3035190074184861,279.50718255136525
brz,2004,753.073394459,0.3547168060175607,555.6111104030235
brz,2001,752.707808615,0.32577134195804003,625.7489842732747
brz,1995,790.208516371,0.34073842755864553,456.16199460497086
brz,1991,1376.91958076,0.258116334727842,1373.715501643162
brz,1993,1021.87912397,0.2609411897370776,993.7189772362804
brz,1997,805.723399201,0.34814673665127654,530.2256389243929
brz,1996,752.798787296,0.34739048823503504,499.60567405551086
brz,1988,557.047994006,0.3442466848899902,545.4012666889266
brz,1999,851.147125684,0.3586391564345378,688.8212747910443
brz,1982,898.307351387,0.34351429535800326,911.2632104611864
brz,2000,956.840807519,0.33871561515626475,940.5844033035577
brz,2005,847.139609824,0.3252853369272412,789.8404574824315
brz,1986,744.800703442,0.3566040423744809,735.138354731541
brz,1970,759.560275623,0.3450550287340862,753.4450247072706
brz,2007,942.621986281,0.32038342367487543,945.5542006548711
brz,1975,198.495803245,0.3310274309990554,195.2311299941119
brz,1927,1120.18276594,0.33833266422503966,1109.5801912195543
brz,1979,737.975099431,0.3109441747848675,738.7953511855181
brz,1980,713.620169877,0.3385561577381128,711.578558289771
brz,1990,1135.70125835,0.27464997520447326,1143.4063566918467
brz,1981,771.945512513,0.3525539137629504,764.9675770179898
brz,1987,811.764640495,0.3251065129300576,819.4085258633484
brz,1967,916.521312339,0.32040444502067184,913.8695664050533
brz,1969,692.083412197,0.3822982874304956,702.1539744956821
brz,1964,672.431234811,0.33968589554019657,678.6011819278492
brz,1968,900.215816832,0.3377821151036158,900.5272452859318
brz,1984,994.174003401,0.3182125062279074,988.4690452126895
brz,1983,835.041332132,0.3089197094970322,822.5443400962679
brz,1985,834.861331754,0.3631052245752247,837.7276779174804
brz,1963,781.263070709,0.31443468984996276,762.6101045197132
brz,1961,1602.48065677,0.25764295936475906,1605.8293223362343
brz,1989,751.436743968,0.3058292892554203,740.6355394849589
brz,1962,1004.6038929,0.288711082638931,1010.4471584843654
brz,1960,968.560633936,0.3087004793679896,959.935285201727
brz,1972,368.462830923,0.3959287790538267,360.1050601734834
