"clusterID_seq","window_type","sum_c","mean_p","mean_f","Nhat","TO_mean","riparian_area_sum","catchment_area_max","contains_null","time_period","SWA","t"
"1","dammed",1,0.922131719843467,0.0248182266203477,1.1120426991242,29.6621623940788,562.585835590959,2213.4539,TRUE,"sum_SWA_t1",0,"1"
"1","dammed",1,0.922131719843467,0.0248182266203477,1.1120426991242,29.6621623940788,562.585835590959,2213.4539,TRUE,"sum_SWA_t2",0,"2"
"1","dammed",1,0.922131719843467,0.0248182266203477,1.1120426991242,29.6621623940788,562.585835590959,2213.4539,TRUE,"sum_SWA_t3",54.7627508923119,"3"
"1","dammed",1,0.922131719843467,0.0248182266203477,1.1120426991242,29.6621623940788,562.585835590959,2213.4539,TRUE,"sum_SWA_t4",0,"4"
"1","dammed",1,0.922131719843467,0.0248182266203477,1.1120426991242,29.6621623940788,562.585835590959,2213.4539,TRUE,"sum_SWA_t5",0,"5"
"1","dammed",1,0.922131719843467,0.0248182266203477,1.1120426991242,29.6621623940788,562.585835590959,2213.4539,TRUE,"sum_SWA_t6",0,"6"
"1","dammed",1,0.922131719843467,0.0248182266203477,1.1120426991242,29.6621623940788,562.585835590959,2213.4539,TRUE,"sum_SWA_t7",0,"7"
"1","dammed",1,0.922131719843467,0.0248182266203477,1.1120426991242,29.6621623940788,562.585835590959,2213.4539,TRUE,"sum_SWA_t8",0,"8"
"1","undammed",0,0.922131719843467,0.0248182266203477,0,36.4757011744166,957.81112895906,2213.4539,TRUE,"sum_SWA_t1",0,"1"
"1","undammed",0,0.922131719843467,0.0248182266203477,0,36.4757011744166,957.81112895906,2213.4539,TRUE,"sum_SWA_t2",0,"2"
"1","undammed",0,0.922131719843467,0.0248182266203477,0,36.4757011744166,957.81112895906,2213.4539,TRUE,"sum_SWA_t3",0,"3"
"1","undammed",0,0.922131719843467,0.0248182266203477,0,36.4757011744166,957.81112895906,2213.4539,TRUE,"sum_SWA_t4",0,"4"
"1","undammed",0,0.922131719843467,0.0248182266203477,0,36.4757011744166,957.81112895906,2213.4539,TRUE,"sum_SWA_t5",0,"5"
