stream,Input_FID,Shape_Area_10,NDVI_veg23_10,Veg_area_veg23_10
brz,5122,309.693607326,0.25151738632809034,215.9277334774242
brz,6431,902.032497899,0.33156488929251243,237.98438352697036
brz,3553,408.082141614,0.5082703327655794,163.5884596880744
brz,3655,323.810261757,0.5451477637249266,314.3692936317593
brz,2896,879.509752709,0.35226441983363066,662.6052799000458
brz,5280,343.247578951,0.31259613497899136,340.2673405665977
brz,1607,1098.17462504,0.4598858132530219,1092.6285789040958
brz,4173,381.709197321,0.3546380268701587,260.711358313467
brz,5431,402.041394775,0.25172091925253065,114.63854675292968
brz,54,439.305850409,0.5805366249389743,322.7654450061275
brz,4570,321.162234667,0.28574123396675966,309.6589970906576
brz,4467,959.907977384,0.37785054039231286,689.6962323656269
brz,3795,307.680259148,0.4137431013227349,297.37399064606313
brz,962,356.738517596,0.4409636469994524,352.65792900534234
brz,670,806.578620381,0.4189283957947857,758.0847409416649
brz,911,916.4221686,0.3699767212299178,448.1403703577378
brz,4441,174.085785419,0.21776814758777618,5.234992532169118
brz,1788,641.948432549,0.5927275355969122,626.1952225629021
brz,4293,242.672808904,0.330456321168205,96.32552110260609
brz,5851,1662.14116686,0.3141753683421785,316.15994828168084
brz,644,1023.51145189,0.5244965558021496,1020.2213799869313
brz,5742,786.360279148,0.3120576467781518,337.0893500234567
brz,650,288.495242254,0.5337919989578377,282.78144049550974
brz,2262,482.622510092,0.5529990026159549,483.39248106713393
brz,3832,393.257927542,0.3708381656961684,226.6887461942785
brz,3880,324.914089278,0.4397557534345229,316.4841238582835
brz,3739,478.376330039,0.4657923537597208,477.99434536204626
brz,3373,300.406656696,0.576208506903317,297.59306407255286
brz,3612,353.559937725,0.4493152714119509,353.8824388691023
brz,3334,290.089281201,0.5871302238229511,279.5322918162626
brz,4762,283.802417864,0.3524488221454081,231.65287017822266
brz,6280,633.346787623,0.23991697300201018,199.21183402865543
brz,2622,309.611957559,0.2767655844308593,272.6849218031939
brz,232,317.792556563,0.5022135924154789,260.2712658152861
brz,5241,401.769461851,0.313155476722801,253.63030916101792
brz,2394,339.180622676,0.5163508833634972,343.64362251431334
brz,700,407.238809839,0.46168653661271136,410.17581269507315
brz,6237,534.923940604,0.27888668644854664,168.31472188912187
brz,2070,363.020686042,0.42883303792255095,329.50675551470584
brz,2988,298.91412318,0.4152574579541882,301.48673801796104
brz,1250,696.713167448,0.3662834231196195,646.7374777700387
brz,5579,1145.94373947,0.23904470694081228,193.4205078125
brz,5772,2442.57642769,0.23942667219112337,145.77120516907934
brz,671,1004.71233112,0.42463006887977056,795.2348646575329
brz,5572,454.2802115,0.27893270308944,227.70894712560317
brz,2376,415.110412416,0.3824566963426662,363.2776708864698
brz,1111,565.121685388,0.39551896269565884,392.96196154426127
brz,5785,312.601571103,0.33264533866610085,304.3688833498487
brz,4532,289.289650651,0.3555814527583956,269.0845059563132
brz,5658,559.107559641,0.30641703906901935,338.4040087830787
brz,4978,1050.03343969,0.29121656946726115,802.5068934721103
brz,4041,491.962309676,0.33197487159058925,378.5126717361749
brz,1412,542.039707304,0.3748019581404229,488.4600641587201
brz,247,376.087488689,0.5077764458057361,375.89839399749155
brz,2000,975.68385494,0.3969560938604762,815.2258090150121
brz,827,311.849124943,0.5354329087944175,308.9527432310815
brz,2632,264.885856581,0.39052000708247014,176.12167522954007
brz,3444,331.426312869,0.5723203269802793,448.8828505572151
brz,3618,299.981934837,0.4506059957370082,243.6855255426145
brz,907,262.641872483,0.5051904548457278,258.4716398650525
brz,651,770.026168804,0.4757309813237723,762.5421646716547
brz,1533,849.986671325,0.34129752513141404,648.854408832625
brz,2895,957.933940332,0.36917174747546433,842.3868477316464
brz,2839,431.430015726,0.36910779611207556,435.44603842940984
brz,4449,292.206436495,0.3639642370832333,195.52710346895105
brz,5319,553.912356863,0.2956649477745211,225.09700595631324
brz,1354,832.521615012,0.31154480820352387,604.3440323175167
brz,1717,992.076083629,0.5950881666025809,1004.2985178330366
brz,2946,391.790298464,0.5897613529499237,261.96400667078353
brz,5706,1078.34919879,0.3485760011745773,171.4267004873238
brz,2351,313.25084365,0.512043918093412,312.23641435211783
brz,3015,392.391856172,0.5251431503024787,391.2480754478305
brz,2582,520.529133228,0.31343577670626005,308.2779560463101
brz,851,437.66668244,0.39773023293384807,437.4015838024663
brz,5608,543.134368112,0.25804791860832127,230.58252476710896
brz,6044,386.955541548,0.31910308747082294,83.49605410706764
brz,2893,1584.01565676,0.3276156183683066,1525.394954367245
brz,5291,1152.34683711,0.31241427596379695,307.8071749518899
brz,3442,414.318808117,0.5332959008642333,410.6687010521983
brz,1516,1039.67949677,0.38784273816543874,404.21742517807905
brz,1571,334.977857939,0.5477130083881562,335.42195904301656
brz,6136,632.545742956,0.3044835502208141,542.867450429879
brz,3278,403.626863486,0.6150106688404638,405.4216356165269
brz,5696,1081.22762088,0.288230979377361,227.17240759157667
brz,4575,299.43478858,0.375773674249649,270.918524798225
brz,3088,283.669985906,0.5502370975083775,282.6542948404948
brz,2557,301.628060871,0.48574759019979197,304.35968753590305
brz,4169,547.095473224,0.32368732364903874,394.47095384784774
brz,4871,750.729373188,0.30885286120755634,177.20423012527766
brz,3494,339.397640011,0.44553820869255545,208.60913663377949
brz,1646,881.834972295,0.584419452063977,860.5874263090246
brz,1584,1557.4625956,0.5255938389634414,1559.8883008171529
brz,3535,379.311957902,0.421479808934818,375.0729571473365
brz,2853,518.337034134,0.36301731112155505,504.27894182392197
brz,584,257.909153146,0.4458647533892911,184.95337243173634
brz,6144,1375.8623633,0.29807730838322327,291.850619207644
brz,1997,921.750171716,0.3523932069856164,641.4532330980487
brz,4348,481.258594828,0.44722796171376733,340.53035523657707
brz,2075,1611.95318003,0.2720394464160099,1032.5009149588793
brz,5317,331.118188737,0.29647809497255123,311.7335315479952
brz,4022,571.74626147,0.44181582487970483,379.3033823948281
brz,1012,1113.50292568,0.3563474116073746,1109.2655013738895
brz,1917,871.151275354,0.32045969416939823,859.3925911697687
brz,4306,426.630494984,0.44491424070858154,422.4718214147231
brz,6361,756.814472139,0.24698483774981161,166.2410837809245
brz,2378,445.936758542,0.4183567921969432,412.7435462502872
brz,6417,766.248031964,0.25711467566147245,267.5655059216069
brz,1072,613.76357534,0.44469289332841827,547.5942946490119
brz,4771,756.7044273,0.2889163523299453,534.4991365320542
brz,1252,297.644015457,0.3695231682666072,296.9459852330825
brz,2115,295.738461615,0.4161918297306016,262.5037118051566
brz,1229,306.171607709,0.37699400115075266,301.1381923899931
brz,1815,1186.00663048,0.38404022756150274,1124.9493145213407
brz,4844,530.205516397,0.34467120072386587,320.9065160414752
brz,1344,799.513641199,0.3594837662962714,745.1103437535902
brz,2277,719.883133585,0.5093811029713704,710.8309113446406
brz,5787,1011.99142215,0.28000380320410273,364.3012127745385
brz,1861,1139.86326661,0.3662898938637226,485.6879063026578
brz,5626,316.985788164,0.29910676512212986,180.33049848967906
brz,5191,316.974654643,0.25551693462359626,122.75582511752259
brz,3908,566.838957492,0.48655599589809906,456.51789903827733
brz,4396,294.452834207,0.39922768266935915,295.51893684536805
brz,2193,1448.36276335,0.3307628559671956,1040.576922278311
brz,1779,698.303849304,0.4723204793772187,462.3831220739028
brz,4125,1327.66739109,0.3461849476410071,1226.8627596088484
brz,6123,1031.99954062,0.2596200847836553,325.6180883071002
brz,6299,160.086599141,0.26570010663203475,110.99541679831111
brz,5697,1143.64201394,0.28382591401335966,477.89880481794773
brz,2875,1504.34752442,0.385673106372439,1510.4739884320427
brz,3449,587.623951116,0.4470787701210466,577.9181986790077
brz,5526,373.950125777,0.2649679481983185,27.48252015955308
brz,235,367.143053344,0.4601811996291727,358.1033804500804
brz,3064,333.239298457,0.41710820776792984,315.36525038176893
brz,4688,779.870236506,0.33737988791080437,777.4117786183078
brz,5863,531.448085043,0.29443584781567095,264.86622434129896
brz,2255,1013.11779861,0.4923209761463302,356.9821387496649
brz,2054,1001.81209079,0.28991166015651093,449.62757538440184
brz,5460,430.590778418,0.2338863319916532,226.4018038581399
brz,3196,924.401591513,0.4860513864650162,937.740333587048
brz,1655,1127.08664624,0.5558356922626609,1106.0342699537089
brz,1602,1057.44369045,0.5491195446793357,1067.5011771706975
brz,3205,475.063746113,0.4747519492413158,452.2526467715993
brz,5217,400.341207914,0.33763085590970526,269.3280459235696
brz,2280,525.729583683,0.5789345472227643,539.9277792238722
brz,5619,426.508028422,0.29379303391659173,297.5840377807617
brz,5539,675.913903444,0.27924206738610263,279.79661655800015
brz,5,351.654225157,0.5178941161226307,128.94602544447955
brz,1966,771.696038112,0.41886003009705786,767.8396351533777
brz,4983,1096.0314978,0.2859005928039551,8.375741038602941
brz,2268,1964.5758706,0.294007683148375,1774.6903134813504
brz,1495,1308.4832768,0.5465620883581982,1298.983015950521
brz,16,384.047066988,0.5485103439906953,297.12310324276194
brz,5689,698.547871985,0.29860314162418844,216.96468287449255
brz,5444,1912.02690619,0.2449829399023416,69.36009129542931
brz,916,520.881461361,0.4417101445309476,484.24018432018806
brz,1818,814.843388881,0.3515543325990727,675.3866452086205
brz,3538,378.917535769,0.38713126482821675,382.6633054845473
brz,552,363.775807956,0.4377540804676175,355.24995368508723
brz,3152,472.964024039,0.416663098628774,207.2760364308077
brz,2771,573.142549906,0.3839767524271931,570.4863324034447
brz,320,329.026807994,0.5830333051099824,325.91282115263095
brz,1122,447.485294496,0.356824539363308,408.6630211026061
brz,1259,795.316304684,0.3899099507866198,581.3297417135799
brz,4269,495.554068686,0.33238147926660533,444.4503277348537
brz,3149,759.341663149,0.5546321766687476,752.4266162348728
brz,1961,2175.44344169,0.30654591598316405,1772.275849615359
brz,6267,356.502240028,0.2651863558823159,145.80782162535425
brz,5498,323.184202649,0.2922632091398928,206.50872677073758
brz,405,245.204716254,0.5432773299990816,245.87848151711853
brz,4995,667.458190805,0.2834215414421312,303.61591548545687
brz,2276,828.96475021,0.46659351078331324,818.6594817516848
brz,3361,314.825773466,0.53671419196227,152.59314006730622
brz,2414,308.460793969,0.5080574360482312,310.6647098316866
brz,3030,472.130312892,0.5484180857721329,471.84752005782786
brz,3141,255.227015,0.3537627485608905,250.98577698352292
brz,5842,629.537820028,0.36583025450777473,298.8849740421071
brz,2729,348.84372931,0.40045947985269764,340.4534270941042
brz,2189,696.204417604,0.46644785710535114,384.98042644425936
brz,1954,888.728696853,0.35456487956878074,882.9829784617704
brz,413,418.179278602,0.5875255315646557,413.0252260395124
brz,97,646.550844554,0.5748066542416634,397.8116237266391
brz,3096,268.763120679,0.4388557260155566,277.6851807538201
brz,1923,504.294447146,0.39893179698507447,509.2529740576651
brz,5101,1031.50674851,0.24152788759706773,229.27979404225067
brz,1567,1021.09723147,0.3915960126937651,1001.0247505935968
brz,4916,1824.93935036,0.3199566920477683,1443.8141337076822
brz,2288,983.237550341,0.3775042867528511,626.3018071193321
brz,4066,352.026775208,0.3363356224936471,159.93973517324412
brz,39,397.000796337,0.5650485624463004,268.3553884169635
brz,5377,514.664087332,0.31104939914925545,403.3319478352865
brz,5767,522.556109463,0.3079968881373743,354.35482327330345
brz,2307,364.83382754,0.40849954222394014,307.266680579092
brz,4679,530.45863813,0.3084082151693041,486.85698475557217
brz,3762,293.643208355,0.40288401210478075,293.70403989904065
brz,2462,269.495859846,0.2944559267198201,268.00533611821197
brz,2712,278.121447834,0.5827771002951737,271.11047656489353
brz,5258,224.595508138,0.2975298193877175,195.00018205829693
brz,5699,970.398539603,0.3166017711658987,455.6525026807598
brz,4727,299.271991362,0.2838701187232353,234.27309432684206
brz,4135,1371.65810867,0.434267753331326,1195.1915993783987
brz,1136,267.395047241,0.4576089047775494,265.81746371400124
brz,1091,496.955327244,0.4385942834618958,479.56896380256194
brz,2897,550.127294874,0.3273569257178984,364.7997999303481
brz,4664,310.833890379,0.3514700138465667,302.31869820987475
brz,1879,851.847133081,0.3324755422559787,396.97573849547143
brz,6307,1595.04509111,0.2294614272588331,214.13838722378603
brz,351,354.502148926,0.570915082492024,347.3707924038756
brz,3224,774.590496168,0.4650365917337078,771.039356545841
brz,2838,523.690555913,0.4267459771254339,459.5211479934992
brz,5347,868.288608247,0.258565745948974,606.9701994952035
brz,3977,426.403493601,0.3632530682203113,400.2361871756759
brz,6041,495.794434941,0.2753704818746736,259.64813151640055
brz,5186,416.523643152,0.25760155016692676,386.3243700812843
brz,154,394.292335038,0.4569808005081958,297.65659709257244
brz,1775,480.629312906,0.5850462024508599,477.29822498396334
brz,4208,618.556754643,0.27782871357435107,448.1191767973057
brz,4897,613.263710089,0.33880427627941295,479.0035517075483
brz,2880,915.395356786,0.37699924271575286,905.448735525094
brz,2297,1132.45266316,0.43801694373883915,796.4271086150524
brz,5394,505.903734231,0.3530414470477955,299.4213982077206
brz,3491,352.844075434,0.4169178108374276,193.1655927770278
brz,2430,335.534779444,0.44736494898234663,333.4319351196289
brz,3441,389.007953025,0.5707648791046656,388.6835066851448
brz,4444,273.98919568,0.3436800290462988,210.97045216279872
brz,4778,149.989040601,0.33657361159650534,145.53307468189914
brz,1241,852.05951579,0.38170429145636625,458.37287154852163
brz,4350,368.050645128,0.4177765250320354,341.0535914103191
brz,4973,706.878348327,0.3290263568532879,630.0152179493622
brz,3653,472.458576967,0.4753280505305592,419.5935730878045
brz,1991,1838.58148438,0.28170753839008106,873.0641946530809
brz,2385,467.553002963,0.3533011979201669,458.28099012187886
brz,1151,296.151141324,0.4775524791050126,295.90688952277685
brz,4519,357.210338459,0.3635335515229091,363.3098532284007
brz,2352,317.46561082,0.5397311337765348,309.0963170369466
brz,485,389.516342725,0.3424233965736499,254.5281133913526
brz,3807,304.821236271,0.423737210269543,289.78431935029874
brz,5048,1015.83911309,0.29329433211098155,500.4523322909486
brz,6252,2009.13633128,0.26640825694660497,235.8520746268478
brz,567,1859.8915951,0.4872255420460843,1761.374719357958
brz,2850,906.615312951,0.34932916055013286,924.0283024507411
brz,2886,597.209220781,0.33345956226268164,598.2210271498735
brz,358,355.131197773,0.5811000167882655,353.6510382259593
brz,5220,495.445731697,0.3115630861080513,448.61990811217066
brz,1492,1531.98913666,0.4327791436595991,1464.0791993384266
brz,728,404.557299726,0.5957165300769091,404.94724650663494
brz,4074,493.875634629,0.4390831092372537,502.5926343132468
brz,4025,504.042354337,0.39275176493544245,449.7201756795247
brz,4221,565.059291928,0.36723450126835705,485.2832269406786
brz,3168,426.406627308,0.40720367990549083,424.2369624717563
brz,5606,1689.9062865,0.24953337819018262,123.01248468137254
brz,4488,330.961928885,0.3116093337203931,329.0147723029641
brz,5297,588.190324462,0.27772854833352956,324.556631379969
brz,3087,274.824346464,0.5514788590371608,278.4665028889974
brz,2900,470.74863293,0.2976281632088188,244.94580081116922
brz,3251,714.704406455,0.5368808053722011,724.1923138786763
brz,1845,1026.5205798,0.2859244747027817,695.8077797983207
brz,5269,622.908297281,0.2861319449970958,177.2024663887772
brz,2520,301.043840204,0.46808840495899384,297.0411439484241
brz,2459,258.16681716,0.2693621044995729,254.65737532073376
brz,328,339.774586039,0.5697972327584442,342.9170857448203
brz,5358,481.495552528,0.3419872474505337,349.6800212486118
brz,3606,323.031744443,0.504187692494818,284.5223018870634
brz,5013,375.036569251,0.34561576158547214,316.702558779249
brz,1936,1367.75007923,0.36371630146196693,384.4304936726888
brz,2144,610.690556851,0.3571633092855757,326.09529742072607
brz,4545,314.127073301,0.38048557186418935,309.661345986759
brz,586,639.218005318,0.3975603939884516,638.8328085506663
brz,4691,505.957461141,0.32420832508267833,312.2714535283107
brz,1427,1603.45122432,0.2996729783937087,942.9056835398954
brz,822,585.915750241,0.6018062958364265,349.7608118992225
brz,3021,1507.37397217,0.5911344187544493,1518.1395384246223
brz,6157,148.5691766,0.36809671535098143,145.79519590490005
brz,603,424.848143719,0.5139383805549629,423.265145814185
brz,313,384.338453447,0.5789653264655205,387.38187285778565
brz,5283,662.373448773,0.2941835707682042,426.6411417044845
brz,6151,345.755344379,0.2983039838478626,332.94807416130516
brz,1835,956.017141606,0.35709798826835304,660.9993366615446
brz,1169,374.637225443,0.4485560976021679,368.8966051887063
brz,5987,1675.55433487,0.25432154606994606,88.2067907894359
brz,550,1426.12089083,0.5316920984134555,1435.6395429723402
brz,1332,508.529501763,0.38166475513165204,495.5245442409141
brz,574,344.537275036,0.575831537381658,346.6215511546415
brz,3851,502.989357263,0.47514610477891506,505.4752433627259
brz,3279,297.203944172,0.5658541384691038,294.971255941952
brz,4610,285.439094124,0.3483848298110471,285.04735978070426
brz,4302,1190.9498455,0.29333407303314685,396.0296483058556
