"dam_km","dam_km_std"
4.52749930377596,0.499078550475722
4.52749930377596,0.499078550475722
4.52749930377596,0.499078550475722
4.52749930377596,0.499078550475722
0,-0.939641437061175
0,-0.939641437061175
0,-0.939641437061175
0,-0.939641437061175
4.51411103973632,0.494824112919832
4.51411103973632,0.494824112919832
4.51411103973632,0.494824112919832
4.51411103973632,0.494824112919832
0,-0.939641437061175
0,-0.939641437061175
0,-0.939641437061175
0,-0.939641437061175
4.5246262702304,0.498165576114045
4.5246262702304,0.498165576114045
4.5246262702304,0.498165576114045
4.5246262702304,0.498165576114045
0,-0.939641437061175
0,-0.939641437061175
0,-0.939641437061175
0,-0.939641437061175
4.53751846586224,0.502262376200418
4.53751846586224,0.502262376200418
4.53751846586224,0.502262376200418
4.53751846586224,0.502262376200418
0,-0.939641437061175
0,-0.939641437061175
0,-0.939641437061175
0,-0.939641437061175
4.6110136021978,0.525617194067432
4.6110136021978,0.525617194067432
4.6110136021978,0.525617194067432
4.6110136021978,0.525617194067432
0,-0.939641437061175
0,-0.939641437061175
0,-0.939641437061175
0,-0.939641437061175
4.60843065886992,0.524796402733594
4.60843065886992,0.524796402733594
4.60843065886992,0.524796402733594
4.60843065886992,0.524796402733594
0,-0.939641437061175
0,-0.939641437061175
0,-0.939641437061175
0,-0.939641437061175
6.62342532063447,1.16510861487309
6.62342532063447,1.16510861487309
6.62342532063447,1.16510861487309
6.62342532063447,1.16510861487309
0,-0.939641437061175
0,-0.939641437061175
0,-0.939641437061175
0,-0.939641437061175
5.42239377210264,0.783452433701728
5.42239377210264,0.783452433701728
5.42239377210264,0.783452433701728
5.42239377210264,0.783452433701728
0,-0.939641437061175
0,-0.939641437061175
0,-0.939641437061175
0,-0.939641437061175
8.73534675971485,1.83622160300288
8.73534675971485,1.83622160300288
8.73534675971485,1.83622160300288
8.73534675971485,1.83622160300288
0,-0.939641437061175
0,-0.939641437061175
0,-0.939641437061175
0,-0.939641437061175
4.54123623459076,0.503443785146036
4.54123623459076,0.503443785146036
4.54123623459076,0.503443785146036
4.54123623459076,0.503443785146036
0,-0.939641437061175
0,-0.939641437061175
0,-0.939641437061175
0,-0.939641437061175
7.67860080855333,1.50041558301812
7.67860080855333,1.50041558301812
7.67860080855333,1.50041558301812
7.67860080855333,1.50041558301812
1.55272952475167,-0.446224905636029
1.55272952475167,-0.446224905636029
1.55272952475167,-0.446224905636029
1.55272952475167,-0.446224905636029
6.11807576188857,1.00452184012653
6.11807576188857,1.00452184012653
6.11807576188857,1.00452184012653
6.11807576188857,1.00452184012653
0,-0.939641437061175
0,-0.939641437061175
0,-0.939641437061175
0,-0.939641437061175
4.63679559133588,0.533810030907954
4.63679559133588,0.533810030907954
4.63679559133588,0.533810030907954
4.63679559133588,0.533810030907954
0,-0.939641437061175
0,-0.939641437061175
0,-0.939641437061175
0,-0.939641437061175
4.54243961185456,0.503826186733714
4.54243961185456,0.503826186733714
4.54243961185456,0.503826186733714
